n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20,
128,1,2.299438715,1,2,1.730308771,1,1,,,,,,,,,,,,,,,,
128,1,2.329777479,1,3,1.692862034,1,1,,,,,,,,,,,,,,,,
128,1,2.290842056,1,4,1.709405899,1,1,,,,,,,,,,,,,,,,
128,1,2.383724213,1,3,1.774694204,1,1,,,,,,,,,,,,,,,,
128,1,2.383778811,1,4,1.68602562,1,1,,,,,,,,,,,,,,,,
128,1,2.294860601,1,4,1.824858904,1,1,,,,,,,,,,,,,,,,
128,1,2.323424339,2,3,1.695037842,1,1,,,,,,,,,,,,,,,,
128,1,2.214668036,1,3,1.75698781,1,1,,,,,,,,,,,,,,,,
128,1,2.309405804,2,3,1.697372437,1,1,,,,,,,,,,,,,,,,
128,1,2.239217997,1,3,1.673847198,1,1,,,,,,,,,,,,,,,,
128,1,2.323491573,2,3,1.604191303,1,1,,,,,,,,,,,,,,,,
128,1,2.294605017,1,3,1.763091326,1,1,,,,,,,,,,,,,,,,
128,1,2.256283045,2,2,1.668849707,1,1,,,,,,,,,,,,,,,,
128,1,2.261603832,1,3,1.758388758,1,1,,,,,,,,,,,,,,,,
128,1,2.303415298,2,3,1.67277503,1,1,,,,,,,,,,,,,,,,
128,1,2.223809242,1,3,1.749031305,1,1,,,,,,,,,,,,,,,,
128,1,2.282075405,1,5,1.739592314,1,1,,,,,,,,,,,,,,,,
128,1,2.318885088,1,4,1.717489004,1,1,,,,,,,,,,,,,,,,
128,1,2.325459003,1,3,1.713386536,1,1,,,,,,,,,,,,,,,,
128,1,2.325456619,1,4,1.826149702,1,1,,,,,,,,,,,,,,,,
128,10,2.349580526,17,1320,4.727268457,6,124,18.01029062,4,86,27.04375243,3,62,4.934407949,4,60,55.79153872,1,1,,,,
128,10,2.424957991,16,1441,4.726039886,6,182,25.55934596,4,78,21.58115935,3,63,33.91595316,3,45,52.44271016,1,1,,,,
128,10,2.377494335,16,1572,4.767567635,6,143,16.56206584,5,79,21.49578977,4,68,28.33238554,3,51,50.46662116,1,1,,,,
128,10,2.479118109,17,1358,4.778265476,6,169,30.44571304,3,68,20.22272539,3,69,8.5545156,3,54,62.69650221,1,1,,,,
128,10,2.438807487,17,1345,4.69624567,6,147,16.93729115,4,63,18.13555861,3,65,23.4992013,3,49,48.07082725,1,1,,,,
128,10,2.524377584,16,1224,4.73906517,5,115,23.65814209,4,77,15.02138758,3,65,20.9793613,3,50,56.4818542,1,1,,,,
128,10,2.420425415,16,1474,4.909272432,6,151,26.0031178,4,82,17.78514552,3,55,31.14618087,3,46,51.94752145,1,1,,,,
128,10,2.343145847,20,1368,4.720691919,5,138,21.74309158,4,76,7.984087706,4,69,34.23988056,3,1,,,,,,,
128,10,2.398309469,16,1162,4.72952342,7,172,32.21125627,4,66,10.90553975,3,66,23.86320138,3,49,46.00045109,1,1,,,,
128,10,2.333927631,16,1465,4.775071144,6,138,20.36941648,4,89,25.36935449,4,54,26.74693131,3,49,67.69366145,1,1,,,,
128,10,2.443911076,16,1577,4.727284193,6,125,38.70489883,4,66,10.70596361,3,55,26.7285428,3,44,62.26710773,1,1,,,,
128,10,2.340932369,17,1359,4.698136806,6,132,26.59577394,4,81,18.0625391,3,66,18.73307586,4,52,54.92253399,1,1,,,,
128,10,2.343231201,18,1483,4.692615509,6,125,24.49746561,4,73,35.0497725,4,1,,,,,,,,,,
128,10,2.407555103,17,1549,4.844126701,6,143,27.25585747,4,74,27.03927135,3,59,17.54098701,3,53,58.59636188,1,1,,,,
128,10,2.390012741,19,1380,4.791535139,7,115,18.95468426,4,80,20.74559689,4,55,23.12673068,3,56,54.96991301,1,1,,,,
128,10,2.328286648,17,1391,4.74886775,6,142,17.79021311,4,60,30.32278967,4,65,0.688719749,4,65,62.6921947,1,1,,,,
128,10,2.389702559,17,1403,4.906852245,6,128,23.22086048,4,76,26.43727422,3,51,9.6360116,3,51,54.02173662,1,1,,,,
128,10,2.390671253,18,1522,4.919546366,6,122,22.91864276,4,72,31.55309248,4,60,25.29777527,3,53,51.33091307,1,1,,,,
128,10,2.61375761,16,1302,4.786791801,5,119,22.943012,4,72,6.072445154,4,69,33.46487904,3,56,45.79000401,1,1,,,,
128,10,2.437024117,15,1503,4.800169468,5,106,12.99085402,4,74,29.41069317,3,53,21.12739873,3,48,62.07362866,1,1,,,,
128,1000,2.37134409,1485,14693792,10.59259367,6,122,32.55401111,4,65,17.64410496,3,50,7.791195631,4,60,47.66555715,1,1,,,,
128,1000,2.44666934,1600,14402717,10.4573586,5,112,25.48591137,4,71,25.59890985,3,57,9.74710989,3,54,58.45243549,1,1,,,,
128,1000,2.390969515,1861,14195589,10.4422524,7,157,34.76686406,4,52,13.68629265,4,70,17.24188924,3,48,55.69697809,1,1,,,,
128,1000,2.446466208,1858,16062708,10.37048078,6,116,23.1679461,4,68,21.75646782,3,61,10.87264466,3,61,61.18789268,1,1,,,,
128,1000,2.473773241,1565,13647252,10.44541907,6,164,26.51796007,4,72,29.60414815,3,53,7.978703976,4,53,47.48507547,1,1,,,,
128,1000,2.971738815,1648,14149583,10.47285867,6,114,30.25580239,3,75,27.52318215,3,58,20.82625842,3,47,56.2340486,1,1,,,,
128,1000,2.419283628,1738,14240184,10.45733643,7,137,21.58588672,4,82,24.72645783,3,66,29.35986853,3,1,,,,,,,
128,1000,2.281258821,1682,14183163,10.48167062,5,119,31.28413033,4,66,22.77984571,3,49,9.684953451,3,1,,,,,,,
128,1000,2.43724966,1661,14986150,10.54392123,6,117,16.77093196,4,85,18.56373334,4,54,14.12150621,3,56,60.17668366,1,1,,,,
128,1000,2.297415972,1540,15294724,10.51978493,5,154,23.92630792,4,70,18.56253624,3,60,20.97035551,3,60,53.38942194,1,1,,,,
128,1000,2.415676832,1697,15291601,10.52486587,5,140,39.23901606,3,62,5.080120802,4,62,38.39014959,3,47,44.58997178,1,1,,,,
128,1000,2.328483105,1528,14019072,10.52325463,6,136,31.07675719,4,76,13.46983385,4,56,18.94839144,3,46,52.33357739,1,1,,,,
128,1000,2.386749268,1622,13974965,10.36567068,6,164,26.19808078,4,79,16.9265902,3,60,18.19947314,3,55,68.25491643,1,1,,,,
128,1000,2.415682793,1702,13338429,10.48299742,5,88,23.72848868,4,65,15.71522188,4,70,25.69558597,3,46,54.20308185,1,1,,,,
128,1000,2.424538136,1686,14916536,10.35865235,7,193,19.60903049,4,75,31.61714745,4,55,19.3977623,3,1,,,,,,,
128,1000,2.413499355,1719,14537794,10.39671659,5,160,27.97328258,4,67,13.12015772,4,67,30.19551277,3,54,54.33652639,1,1,,,,
128,1000,2.477131605,1802,14255967,10.48199701,7,124,22.8144567,4,80,30.24549651,3,58,15.86654639,3,45,47.80070543,1,1,,,,
128,1000,2.431757689,1726,14162097,10.37625384,6,112,27.59546566,4,65,24.18238354,3,51,12.87024999,3,52,60.71600413,1,1,,,,
128,1000,3.129974127,1749,13833103,10.59570193,7,161,21.19479799,4,73,22.89127254,4,63,12.70476365,3,56,53.00786257,1,1,,,,
128,1000,2.430568933,1676,13547105,10.42353535,5,147,18.75271916,5,91,29.05201268,3,65,8.843124628,4,61,58.17426014,1,1,,,,
256,1,8.677025557,1,8,13.39528561,3,8,107.3646357,3,8,71.12788153,3,8,82.70836806,3,8,447.4122441,3,1,,,,
256,1,8.949907541,2,11,13.37091732,3,11,128.0051844,3,1,,,,,,,,,,,,,
256,1,8.774569511,2,10,13.75442958,3,10,79.13376832,3,10,129.0628459,3,10,123.5103173,3,10,316.3300514,3,10,661.8306437,3,1,
256,1,9.064299822,1,10,13.90486765,3,10,87.99969149,3,10,108.5825672,3,10,208.0580571,3,10,489.5322506,3,10,525.260721,2,10, 
256,1,9.056328535,2,9,13.70286274,3,9,116.7436321,3,9,86.42416143,3,9,136.6815381,3,9,323.1502318,3,9,1454.747432,3,1,
256,1,10.88750267,1,9,13.92770672,3,9,87.55785847,3,9,121.2802839,3,9,73.49677038,3,9,274.3501313,3,9,796.757606,3,9, 
256,1,8.894320965,2,8,13.8004601,3,8,70.08913732,3,8,158.1447337,3,1,,,,,,,,,,
