dim,s,time,sampled,sieved,compared,num_short
20,10,0.034,123,1597,309773,39
20,100,0.037,113,3129,593564,32
20,1000,0.05,110,4547,836240,26
21,10,0.028,125,1934,439606,16
21,100,0.048,129,3588,796323,3
21,1000,0.072,125,5573,1196697,40
22,10,0.033,145,1966,502899,1
22,100,0.067,140,4364,1065560,43
22,1000,0.101,140,6485,1629298,41
23,10,0.054,174,2784,831460,45
23,100,0.095,169,5219,1500392,4
23,1000,0.138,147,7852,2234518,3
24,10,0.066,171,3000,979075,47
24,100,0.145,200,6516,2223675,9
24,1000,0.2,194,9282,3098521,7
25,10,0.09,200,3602,1338200,32
25,100,0.187,223,7381,2849877,32
25,1000,0.281,228,11326,4324330,44
26,10,0.135,248,4410,1945263,50
26,100,0.274,255,8983,4057737,3
26,1000,0.389,248,13159,5784174,14
27,10,0.182,281,5205,2619619,47
27,100,0.364,275,10591,5374044,50
27,1000,0.558,291,15953,8267810,3
28,10,0.258,335,6042,3646556,6
28,100,0.51,322,12441,7331568,8
28,1000,0.838,323,19290,11442823,55
29,10,0.375,352,7419,5275158,8
29,100,0.712,373,14899,10133585,53
29,1000,1.074,374,22424,15349085,36
30,10,0.509,429,8637,6905725,58
30,100,1.42,429,17838,14151039,49
30,1000,2.104,454,26641,20932355,59
31,10,0.961,488,10357,9546469,62
31,100,1.95,495,21130,19301363,60
31,1000,2.969,493,31827,29249767,57
32,10,1.015,587,11953,12936622,8
32,100,1.975,558,24517,25832957,54
32,1000,3.015,567,37641,39591198,47
33,10,1.44,667,14657,18288921,63
33,100,2.865,636,29857,36593395,60
33,1000,4.325,623,45197,55437031,56
34,10,1.996,730,17102,24562096,64
34,100,3.997,732,34996,49588171,64
34,1000,6.037,739,53169,74854063,66
35,10,2.649,838,19951,32510635,70
35,100,5.519,836,41193,67886038,70
35,1000,8.357,866,62770,103355380,16
36,10,3.852,954,24081,46199879,66
36,100,7.815,961,49141,93966567,59
36,1000,11.696,986,74219,141192534,6
37,10,5.453,1141,28723,64398876,46
37,100,10.89,1141,58356,128876012,66
37,1000,16.34,1148,88198,193882883,73
38,10,7.589,1280,33546,87114578,7
38,100,15.087,1297,68273,173651255,70
38,1000,22.937,1344,103706,264711602,0
39,10,10.625,1537,39782,120607358,5
39,100,20.878,1515,81061,237671157,76
39,1000,31.892,1463,123631,363281006,75
40,10,14.73,1849,46887,164062684,73
40,100,29.752,1726,96621,331969349,1
40,1000,44.804,1759,146371,500710767,78
41,10,20.006,1992,54715,218834333,79
41,100,40.999,1973,113195,449537093,4
41,1000,62.398,2093,172906,684633974,81
42,10,29.057,2317,66123,310558919,80
42,100,58.941,2399,135998,631503269,82
42,1000,88.063,2270,205105,943752493,77
43,10,46.33,2649,77456,422763091,3
43,100,89.245,2727,159007,850210699,80
43,1000,132.225,2668,242249,1285052481,83
44,10,58.405,3153,91707,579415629,77
44,100,119.274,3206,188630,1170068495,3
44,1000,177.312,3069,286821,1773714599,85
45,10,78.332,3588,105815,765620284,88
45,100,163.878,3613,223251,1605834444,75
45,1000,250.632,3537,340322,2444945254,80
46,10,111.47,4223,124997,1056123584,1
46,100,237.638,4233,265757,2215130283,83
46,1000,363.394,4206,404523,3378121005,85
47,10,162.596,4803,150160,1477012132,91
47,100,329.496,4740,310643,3003474141,86
47,1000,498.713,4868,474720,4589393475,9
48,10,221.11,5489,175117,1986273430,82
48,100,455.97,5596,368446,4147129408,13
48,1000,690.009,5640,561551,6295890315,91
49,10,320.082,6663,208525,2752301515,90
49,100,657.706,6496,435902,5682196922,78
49,1000,1007.753,6318,665687,8657198105,97
50,10,506.606,7420,244800,3751043020,98
50,100,1022.185,7599,514883,7784137211,97
50,1000,1564.015,7506,783756,11817679552,5
20,10,0.024,97,1504,273461,36
20,100,0.036,113,3089,587247,37
20,1000,0.052,109,4686,874424,38
21,10,0.027,126,1914,428691,36
21,100,0.052,133,3825,842704,42
21,1000,0.071,131,5471,1194942,1
22,10,0.035,147,2143,537399,43
22,100,0.067,144,4288,1070144,2
22,1000,0.1,152,6469,1606880,3
23,10,0.049,187,2419,743114,0
23,100,0.095,159,5277,1509726,46
23,1000,0.137,161,7658,2188701,1
24,10,0.075,213,3194,1118254,1
24,100,0.134,183,6180,2053178,11
24,1000,0.204,192,9470,3148225,46
25,10,0.096,231,3631,1417490,48
25,100,0.179,207,7262,2730494,48
25,1000,0.277,217,11177,4273212,26
26,10,0.147,270,4508,2127494,50
26,100,0.272,235,8951,4029560,3
26,1000,0.377,227,12968,5616238,33
27,10,0.179,278,5045,2583453,46
27,100,0.381,296,10832,5621219,54
27,1000,0.541,286,15733,8008936,52
28,10,0.252,315,6006,3557403,6
28,100,0.513,340,12541,7348342,53
28,1000,0.793,338,19199,11440660,51
29,10,0.367,380,7416,5147072,58
29,100,0.692,380,14558,9824797,57
29,1000,1.091,407,22671,15543738,57
30,10,0.533,427,8909,7242472,57
30,100,0.995,414,17353,13668270,58
30,1000,1.538,418,26730,21209379,30
31,10,0.72,510,10302,9510811,61
31,100,1.855,474,20557,18482521,58
31,1000,2.178,487,31962,29198932,59
32,10,1.03,561,12267,13361883,0
32,100,2.004,509,24740,25982491,62
32,1000,2.939,560,36632,38550126,4
33,10,1.408,637,14403,17734746,48
33,100,2.803,653,29078,35738398,10
33,1000,4.239,659,44727,54612422,60
34,10,1.972,733,17086,24319969,58
34,100,3.96,712,34858,49201740,61
34,1000,5.929,742,52155,73606840,65
35,10,2.725,870,19940,33284648,2
35,100,5.589,894,41657,68676155,54
35,1000,8.111,811,61827,100354682,61
36,10,3.864,994,24048,46509000,67
36,100,7.644,960,48752,92484015,39
36,1000,11.617,987,74499,140585937,72
37,10,5.153,1107,27667,61028435,69
37,100,10.853,1136,58459,129096534,64
37,1000,16.211,1135,88296,193048382,58
38,10,7.592,1302,33792,87333402,70
38,100,15.419,1331,69100,177455571,71
38,1000,22.813,1297,103595,262820328,3
39,10,10.562,1534,39693,119919711,68
39,100,21.012,1536,81221,239734577,9
39,1000,32.235,1516,123946,367659454,4
40,10,14.538,1747,46552,161222240,73
40,100,29.42,1714,95787,327986626,78
40,1000,44.526,1727,145487,495775325,75
41,10,20.272,1962,55069,221222967,82
41,100,41.351,2068,113571,452821855,68
41,1000,62.889,2069,173172,688645432,16
42,10,28.15,2373,64381,299935428,12
42,100,58.557,2313,135324,625840139,9
42,1000,88.21,2327,204279,935179496,79
43,10,42.23,2753,76475,412173054,82
43,100,83.512,2662,159313,850428112,82
43,1000,123.847,2677,243439,1296674081,2
44,10,55.955,3067,89762,561594502,4
44,100,118.073,3157,188217,1167384500,82
44,1000,177.834,3114,287659,1776486885,86
45,10,80.716,3453,107109,779295664,90
45,100,164.61,3542,223067,1606748316,88
45,1000,251.3,3516,340671,2440583169,88
46,10,114.371,4189,126794,1077538770,88
46,100,236.921,4125,262602,2191003722,86
46,1000,361.058,4301,403559,3362524657,87
47,10,161.739,4825,148979,1465471694,14
47,100,331.987,4782,311595,3017027111,91
47,1000,505.709,5011,479151,4647980873,91
48,10,217.284,5497,174501,1971029926,90
48,100,458.513,5484,369345,4153307811,90
48,1000,699.602,5565,562312,6305730128,80
49,10,314.655,6452,206349,2711267864,93
49,100,666.673,6626,436668,5702549203,79
49,1000,1018.287,6591,666957,8696102232,94
50,10,515.558,7565,244367,3733752972,97
50,100,1050.913,7542,516566,7841572522,94
50,1000,1581.307,7400,785960,11878383708,6
20,10,0.025,103,1526,283543,18
20,100,0.032,104,2846,524005,0
20,1000,0.052,115,4516,855076,1
21,10,0.026,125,1845,409526,3
21,100,0.048,113,3768,792954,42
21,1000,0.07,114,5553,1182797,42
22,10,0.037,150,2284,575970,44
22,100,0.072,151,4518,1136664,37
22,1000,0.101,153,6500,1614980,43
23,10,0.049,156,2649,757202,42
23,100,0.094,149,5299,1488122,44
23,1000,0.132,160,7528,2124636,2
24,10,0.077,191,3265,1131327,48
24,100,0.139,192,6326,2120328,47
24,1000,0.208,187,9603,3199474,0
25,10,0.105,224,3953,1569038,50
25,100,0.195,213,7690,2963147,50
25,1000,0.275,217,11064,4211444,1
26,10,0.136,259,4385,1966657,43
26,100,0.268,264,8924,3946251,51
26,1000,0.396,237,13473,5909880,8
27,10,0.191,290,5178,2747830,0
27,100,0.381,279,10742,5615005,3
27,1000,0.556,304,15997,8224682,47
28,10,0.268,345,6262,3795193,49
28,100,0.513,330,12464,7371240,14
28,1000,0.782,313,19150,11329631,49
29,10,0.373,378,7434,5236881,7
29,100,0.735,374,15260,10447596,54
29,1000,1.026,373,21731,14665381,5
30,10,0.522,403,8693,7093617,0
30,100,1.036,413,17896,14245815,60
30,1000,2.104,440,26514,20935685,50
31,10,0.931,470,10159,9192148,61
31,100,1.433,517,21155,19397986,61
31,1000,2.919,485,31751,28845730,61
32,10,1.032,567,12425,13382395,63
32,100,2.039,599,25019,26660243,36
32,1000,3.048,552,37800,40007953,61
33,10,1.426,641,14659,18233156,62
33,100,2.806,627,29483,35924320,63
33,1000,4.258,690,44779,54881241,63
34,10,2.019,716,17304,25013418,8
34,100,3.9,768,34351,48674480,2
34,1000,5.875,712,52450,73442840,59
35,10,2.649,852,19930,32377838,69
35,100,5.624,846,41810,69268500,69
