n, T, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
128,1,20.40875149,5.11E+186,71,7.986129284,4,76,22.04006267,4,65,23.77011061,3,64,25.9338479,3,1,,,,,,,
128,10,39.75360847, 11353031278934885977460708119887518914610566333653949369403739675936970641044422591624083757346508059617759692775543685828924814772118891490943730144535609260838296245498697886329871010647503502653672524055230803076086011353686577657098900364941047045263061985399969139435443591679577328790224644566186861305474553489886998333446787786295844974732597068066002178976822782911829728454470864135718039130099894404,3647,19.77553535,6,127,15.01091075,4,85,28.58605051,3,51,6.517445564,3,53,54.20617723,1,1,,,,
128,100,20.38501525, 2197251397623784982613384372529615416535098980621936352946045202994542912169485415307315151881819160762630822839149012962889437190175401854547926895630426786500781721211683317763744849288133774814631566467363074766210085415673513335876022305293456470115547860622834740320348700776300233028828991824528427468159213741347673439384083258804091777966825170569492886051317605447780477054044211967722721441659750667892176038780591063758627208125880526804341174343129394016646195826549986509372471568475088449390777794184146700155591764457893820733843728901537970714269740821207021762046120165786871253397099889027818271843245193750073232299307648914859087243600919800,357489,33.86842632,5,110,23.45848513,4,76,30.67389321,4,57,6.838889837,3,57,59.95756364,1,1,,,,
128,1,6.798446178,1.38E+93,73,7.926111221,5,73,19.45053744,4,73,18.97092795,3,65,7.923507929,4,51,70.12807846,1,1,,,,
128,10,13.27579618,1.71E+204,3562,19.78895664,5,114,27.76297736,4,78,12.23154426,4,58,25.30121708,3,55,58.42027092,1,1,,,,
128,100,61.36539793, 258365449815760232375709542120962058830861906594965236414109229027608579281753300873069494193670498056469451746879973059031498485096328874712962159153677753237654724533559469535261139263299063472895812061851643557498271597910956143154473769294216496122012742151513126241171351081000617415278658668447389940764596744109720140727561,336600,33.16446185,6,120,25.9537282,4,73,14.58304071,3,58,30.57488084,3,1,,,,,,,
128,1,6.840458632,1.19E+188,70,7.93539381,4,70,14.97990179,4,70,33.59185386,3,53,17.86206818,3,42,64.11662722,1,1,,,,
128,10,39.68004084,1.13E+205,3689,19.77059674,5,161,24.67966008,4,76,17.00224829,4,63,14.79977584,3,56,54.78515768,1,1,,,,
128,100,40.94981718, 474330416403582121946490897038269867170999991007762743552448158132500245257136121181884575028963980533227602209680524274159856957526642542071784516970266631191892914461671753323150634691386960406493410559571783686255630681070565928544952275434143522086840664061142361345123295041826266668180297318529773966545565708154629117667834783985906713132281402064479837454270195000255660749457307857663753789001520505111413881662150348051710164485370037329222441339115527458829020528723224400371346357145187688847241226468458704237297113800484639015554539666087958325753700214424632280701961653357635790708352669465437703494930857584707051633323533766561003579632,341129,33.08568907,6,158,22.3994565,5,77,15.08632421,4,62,15.07756734,3,64,65.84734082,1,1,,,,
128,1,6.871908665, 1060317307630419916140018695856999245822544584665114261406366335326747558949614338781845058409961906221919810606888806711809663563981146886814232304609911420514960473499730191041450880229428916850367620065675270080012353875760175714870645742661263053760997557017095659309105776856,70,8.018115044,4,74,14.3297925,4,67,20.86906838,4,73,19.20711136,3,52,55.76638365,1,1,,,,
128,10,13.19451904,3.22E+204,3566,19.68676591,5,155,29.76638651,4,72,20.98850846,4,59,17.10783672,3,53,58.95416379,1,1,,,,
128,100,20.54127574, 19831652791577219087650134058424370963416219437501792566342816250221156855953012166081048704260812540089355591084009646580129094767674537030386214384768625878905642719755038906964935506242992059011821872308680371455687395837193682734098176767278621677837288530067237756627875016773986191111437962962935529355320153688613517002574724580945736209055216167912084123466845288455675625460728004917144450400320034874834935304373120637731314276086261716039194816845473445212832854668748778909597801785622009076591027586841428857782334341828565278473063493147051586013503979730276308858141781963602941458559337387473910501421331151230303203634009939436207119826411286857604372666628731517946243274776180281380485762190616421784148775598357382660756002603902163798109607448642116621449109823210368964775500315956333506451526173099020423287323414817564032061153525401606599135856587679382649462139748997349606316605618019092150439929806358967525975155029370388022090723791412555140187626854330,326996,33.54002285,5,133,29.46168208,4,62,6.690897226,4,58,28.30730462,3,45,54.27007604,1,1,,,,
128,1,20.49217987,8.05E+188,71,7.839252472,5,71,19.36087275,4,71,14.7147007,4,65,23.16958666,3,52,54.39331365,1,1,,,,
128,10,53.47255397,8.00E+204,3849,20.04781008,6,177,29.91467834,3,58,16.71040201,3,58,43.77983165,3,1,,,,,,,
