n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t6, max6, lsq6, t7, max7, lsq7, t8, max8, lsq8, t9, max9, lsq9, t10, max10, lsq10
128,1000,3.826543808,1830,14659223,11.42668891,6,159,25.71139026,4,81,19.67959833,4,64,30.54191589,3,48,4.614759445,3,45,5.934466839,3,50,67.96055841,1,1,,,,,,
128,1000,2.571921349,1731,15078435,10.74401093,6,124,43.61602569,4,73,20.42635107,3,54,4.290459156,3,55,23.40817475,3,1,,,,,,,,,,,,
128,1000,3.705312252,1582,15054288,11.92426229,6,146,24.41844606,4,72,23.55202556,3,59,11.12116814,3,52,23.8147974,3,1,,,,,,,,,,,,
128,1000,2.617466927,1740,13632384,11.13465476,6,127,18.00367808,4,83,17.94961476,4,41,34.07941318,3,49,1.029704571,3,49,71.16438365,1,1,,,,,,,,,
128,1000,2.634252548,1556,14220544,10.27130222,7,174,22.16281271,4,77,25.41692829,3,49,16.6466887,3,49,18.09668636,3,49,23.47050786,3,1,,,,,,,,,
128,1000,2.624604702,1579,13800814,10.23152208,5,124,23.70152068,4,77,23.22324181,3,62,16.73715162,3,53,19.35157943,3,46,67.32685041,1,1,,,,,,,,,
128,1000,2.683018923,1683,13532174,10.2733202,6,177,22.29044032,4,86,22.71018887,3,56,17.95360756,3,56,18.53181267,3,47,15.13833022,4,1,,,,,,,,,
128,1000,2.961334705,1722,14610063,10.14322448,7,190,20.46993876,4,83,33.83769131,3,47,14.27643013,3,53,26.1586163,3,1,,,,,,,,,,,,
128,1000,2.612256527,1648,14417158,10.04052281,6,154,28.09375286,4,79,3.430926323,4,74,29.88260889,3,1,,,,,,,,,,,,,,,
128,1000,2.605938673,1706,13770891,10.04279232,6,155,16.95893312,4,91,25.16375756,4,64,12.79899001,3,58,3.830381632,3,59,26.84355021,3,1,,,,,,,,,
128,1000,2.637299776,1632,14467101,9.920311928,7,185,32.89041305,4,63,14.37913823,4,44,10.11231065,4,43,5.243095636,3,60,25.35235906,3,1,,,,,,,,,
128,1000,2.657294989,1722,15151764,10.13415551,6,137,20.69646525,4,64,14.93160319,4,63,25.07222414,3,46,28.6417563,4,34,0.552266598,3,34,58.67489624,1,1,,,,,,
128,1000,2.630594254,1718,14216851,10.03512597,6,142,16.65190458,4,79,26.27949739,3,69,28.69364214,3,38,14.89815807,3,1,,,,,,,,,,,,
128,1000,2.614108562,1623,15075533,10.07381797,5,147,27.44182014,4,78,26.15956354,4,55,8.554523945,3,51,35.05386257,3,1,,,,,,,,,,,,
128,1000,2.613375664,1745,13417392,10.0271523,6,127,34.67869568,4,67,12.61123514,4,69,20.72473049,3,1,,,,,,,,,,,,,,,
128,1000,2.610490561,1773,13245165,10.01718497,6,173,26.56007552,4,74,13.56812954,3,58,36.92918658,3,42,0.827893734,3,42,10.2058363,3,42,55.44911313,1,1,,,,,,
128,1000,2.617685795,1774,14105307,10.00889087,5,155,28.87832856,4,80,19.2895925,3,57,19.43175292,3,50,14.40636659,3,1,,,,,,,,,,,,
128,1000,2.574346304,1517,14226861,10.09235692,6,142,23.97815847,4,65,21.12574792,4,55,41.90416169,3,1,,,,,,,,,,,,,,,
128,1000,2.646737099,1654,14108327,10.01115918,5,143,21.21028614,5,88,27.44524455,3,63,17.27053046,3,48,4.962504387,3,53,30.35421801,3,1,,,,,,,,,
