n, b, d, L, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
128,1,2,1280,5.561499119,64,22,1.45227313,1,1,,,,,,,,,,,,,,,,
128,1,2,2560,12.35178089,2466,25849,2.503806591,6,127,19.61446261,4,65,15.33933377,3,65,31.12083817,3,53,58.46734118,1,1,,,,
128,1,2,3840,20.37726593,133342,11816257,3.540059566,5,131,22.32768059,4,70,15.25326467,4,63,8.958211184,3,50,58.43222308,1,1,,,,
128,1,2,5120,27.2545507,5130890,85487152850,4.54637742,6,152,24.05614138,4,80,15.0053196,4,58,37.3420105,3,1,,,,,,,
128,1,2,6400,34.82242727,378378292,3.55418E+14,5.465547562,6,137,15.75874734,4,96,23.92385221,4,72,34.7499795,4,52,66.42727494,1,1,,,,
128,1,3,1280,7.271426916,422381,61683118,3.894489527,6,126,20.38462877,5,70,29.79998159,3,64,9.130073547,3,58,54.72724152,1,1,,,,
128,1,3,2560,15.10855865,7.98519E+11,4.70399E+16,7.62064743,5,107,27.8147881,4,93,22.82780099,3,62,23.12981176,4,51,60.73026204,1,1,,,,
128,1,3,3840,22.93688726,2.69684E+17,1.96692E+17,47.78552198,5,145,24.04795551,4,62,32.08713531,3,56,12.28115916,3,57,66.49298167,1,1,,,,
128,1,3,5120,32.06756473,1.03214E+23,1.51087E+42,65.19335508,5,143,25.12460923,4,69,13.68058419,3,66,23.20302916,3,54,63.77830958,1,1,,,,
128,1,3,6400,39.103894,2.32832E+28,3.97597E+52,81.70210695,6,126,28.72006822,5,76,24.08794069,3,55,20.72362757,3,53,52.33354664,1,1,,,,
128,1,4,1280,8.014579773,7.95558E+12,4.31108E+17,8.339100122,5,102,16.0021975,4,63,21.07344127,3,61,35.44000602,3,1,,,,,,,
128,1,4,2560,16.56484056,6.81318E+23,1.60441E+43,70.92920852,6,139,23.95772409,4,70,28.58458805,3,56,16.35975933,3,49,53.28131938,1,1,,,,
128,1,4,3840,25.00941896,4.40673E+35,2.52557E+66,109.0544171,8,180,22.97647834,5,93,24.87996078,4,56,26.28775454,3,51,56.67149663,1,1,,,,
128,1,4,5120,33.22949195,2.59119E+50,3.13228E+93,147.4877167,6,171,34.49314141,4,61,28.33397388,3,58,17.01745892,4,40,47.94373512,1,1,,,,
128,1,4,6400,41.91386604,5.07344E+60,2.3244E+115,189.4748843,5,162,33.39998364,4,75,24.6044147,4,63,23.6941998,3,1,,,,,,,
256,1,2,2560,38.60716796,29,10,7.165696144,1,1,,,,,,,,,,,,,,,,
256,1,2,5120,92.43138933,3386,7464,180.2157128,78,32325,716.7657492,39,9646,642.4702153,29,4919,406.5425029,21,4053,1652.739483,15,1531,4759.839169,11,859, 
256,1,2,7680,161.3346548,116284,69715025,703.0603008,77,42055,549.2817693,43,10452,722.8123269,29,5809,770.459667,21,3145,1696.393629,14,1591,3299.720762,12,763, 
256,1,2,10240,220.4731629,9197784,10694017868,1666.390969,92,46105,856.5623348,33,8597,889.9488602,27,4668,423.69502,23,3532,2022.032498,14,1224,2506.86535,12,991, 
256,1,2,12800,292.8350308,675654417,3.11263E+14,2681.458603,74,42963,930.9803505,33,8457,659.9479876,26,4763,798.1348488,20,3411,1485.553995,14,1615,3442.42167,12,839, 
256,1,3,2560,56.31825852,630739,56546451,996.3086226,87,49584,1003.635499,37,8093,417.9790804,27,4991,708.1278429,22,3546,1444.720358,15,1724,3622.999912,11,929, 
256,1,3,5120,123.3729229,2.56828E+11,5.658E+16,4146.48295,89,58896,512.0988669,37,8504,791.615185,27,5111,385.1878273,21,3460,1618.857337,13,1806,4701.67972,11,880, 
256,1,3,7680,188.3237331,2.38619E+17,3.26387E+16,1317.294917,91,48297,650.749449,36,10229,775.0812466,30,5358,579.4504666,21,3197,1491.555461,16,1608,4058.00486,11,886, 
256,1,3,10240,257.7251489,1.39698E+23,1.89536E+42,1845.728887,80,43880,663.2277234,36,8992,799.3591268,26,4933,541.9890237,22,3568,1572.563696,15,1649,3604.598733,11,890, 
256,1,3,12800,320.6035459,1.22012E+29,1.35692E+54,2317.614648,71,40609,729.5614314,33,9220,601.1580253,26,5166,812.1172559,20,3517,1522.937906,14,1646,3526.968179,12,860, 
256,1,4,2560,65.25982046,6.37789E+12,3.42208E+16,4849.491035,86,50728,729.4911432,34,9315,763.4392455,25,4721,884.056318,21,3414,1516.524134,18,1654,4725.185765,11,921, 
256,1,4,5120,134.9537981,2.5173E+25,2.2521E+45,2086.971355,97,56697,773.4540219,36,8938,617.7356064,26,5932,682.0530515,21,3238,1652.384973,14,1288,3336.33553,11,879, 
256,1,4,7680,214.6299329,1.19636E+37,1.40445E+69,3892.074054,87,46916,678.0504954,36,10253,829.1450536,24,5188,813.554539,19,3630,1389.494328,16,1584,3612.191213,10,953, 
256,1,4,10240,278.4281445,9.03916E+49,5.77458E+93,5337.788539,72,37686,779.7314188,36,9634,723.8854263,27,4903,547.9228275,22,3104,1673.130076,14,1622,2750.386158,11,869, 
